trade_date,symbol,name,close,price_factor_score,base_action,action,target_weight,reason,risk_flags,momentum_20d,close_vs_ma20,amount_ratio_5_20,volatility_20d,breakout_20d
2024-01-02,000001,平安银行,9.21,0.0,avoid,watch,0.0,"价格因子评分 0.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-02,300750,宁德时代,156.83,0.0,avoid,watch,0.0,"价格因子评分 0.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-02,603986,兆易创新,89.98,0.0,avoid,watch,0.0,"价格因子评分 0.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-02,688012,中微公司,146.05,0.0,avoid,watch,0.0,"价格因子评分 0.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-03,000001,平安银行,9.2,0.0,avoid,watch,0.0,"价格因子评分 0.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-03,300750,宁德时代,155.8,0.0,avoid,watch,0.0,"价格因子评分 0.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-03,603986,兆易创新,86.06,0.0,avoid,watch,0.0,"价格因子评分 0.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-03,688012,中微公司,145.44,0.0,avoid,watch,0.0,"价格因子评分 0.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-04,000001,平安银行,9.11,0.0,avoid,watch,0.0,"价格因子评分 0.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-04,300750,宁德时代,151.2,0.0,avoid,watch,0.0,"价格因子评分 0.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-04,603986,兆易创新,81.3,0.0,avoid,watch,0.0,"价格因子评分 0.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-04,688012,中微公司,144.9,0.0,avoid,watch,0.0,"价格因子评分 0.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-05,000001,平安银行,9.27,0.0,avoid,watch,0.0,"价格因子评分 0.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-05,300750,宁德时代,150.9,0.0,avoid,watch,0.0,"价格因子评分 0.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-05,603986,兆易创新,79.7,0.0,avoid,watch,0.0,"价格因子评分 0.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-05,688012,中微公司,144.2,0.0,avoid,watch,0.0,"价格因子评分 0.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-08,603986,兆易创新,77.61,10.0,avoid,watch,0.0,"价格因子评分 10.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-08,688012,中微公司,137.73,7.5,avoid,watch,0.0,"价格因子评分 7.5；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-08,000001,平安银行,9.15,5.0,avoid,watch,0.0,"价格因子评分 5.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-08,300750,宁德时代,150.0,2.5,avoid,watch,0.0,"价格因子评分 2.5；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-09,603986,兆易创新,77.7,10.0,avoid,watch,0.0,"价格因子评分 10.0；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
2024-01-09,688012,中微公司,136.36,7.5,avoid,watch,0.0,"价格因子评分 7.5；风险标记: insufficient_20d_history, ma20_unavailable, amount_ratio_unavailable；进入观察清单，等待趋势或资金确认",insufficient_20d_history|ma20_unavailable|amount_ratio_unavailable,,,,,0
